"";"DominiqueVanpee";"Ehsanwlv";"F1000";"GibertJosep";"HEFCE";"Impactstory";"Isabella83";"JASIST";"Juancommander";"KeitaBando";"PLOS";"RodrigoCostas1";"RouhiRoo";"SLAAcadSCS";"Stew";"We";"Wikipedia";"ZohrehZahedi";"abugseye";"altmetric";"buraktango";"csugimoto";"dbeucke";"eomalea";"ernestopriego";"figshare";"habib";"herrison";"iaravps";"isidroaguillo";"jarmosaarikko";"jenniferlin15";"juancommander";"kholmber";"kwelle";"lariviev";"machtm";"mfenner";"mrgunn";"pgroth";"rOpenSci";"ronaldfar";"skonkiel";"stefhaustein";"stew";"tafanor";"timothydbowman";"tramullas"
"DominiqueVanpee";0;0;2;0;2;16;0;2;0;0;4;5;4;0;0;0;2;0;0;2;0;2;0;0;2;1;0;0;0;0;0;0;0;0;0;2;0;13;0;0;2;0;0;6;0;0;2;0
"Ehsanwlv";0;0;0;0;0;2;0;0;0;0;0;9;4;0;0;5;0;0;2;0;0;0;0;0;0;9;0;0;0;0;0;0;2;0;4;0;0;9;1;0;0;0;0;12;2;0;0;0
"F1000";0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"GibertJosep";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
"HEFCE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Impactstory";0;0;2;0;0;1;0;4;0;0;6;0;2;0;2;0;2;0;5;19;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;4;1;0;0;0;4;1;0;0;0;0
"Isabella83";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
"JASIST";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Juancommander";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"KeitaBando";0;0;1;0;0;9;0;0;1;0;1;2;2;0;1;0;1;1;0;5;0;1;0;0;0;2;0;0;0;0;0;1;4;3;2;1;0;12;0;5;1;0;0;7;2;0;1;0
